GET 304 /api/game/4  124.127 ms - Mon, 08 Feb 2021 16:36:45 GMT
GET 304 /api/game/4  103.681 ms - Mon, 08 Feb 2021 16:36:54 GMT
GET 304 /api/game/4  105.546 ms - Mon, 08 Feb 2021 16:37:19 GMT
GET 304 /api/game/4  97.631 ms - Mon, 08 Feb 2021 16:37:35 GMT
GET 304 /api/game/4  126.103 ms - Mon, 08 Feb 2021 16:37:44 GMT
GET 304 /api/game/4  125.751 ms - Mon, 08 Feb 2021 16:37:45 GMT
GET 304 /api/game/4  105.638 ms - Mon, 08 Feb 2021 16:38:15 GMT
GET 304 /api/game/4  108.162 ms - Mon, 08 Feb 2021 16:38:18 GMT
GET 304 /api/game/4  96.545 ms - Mon, 08 Feb 2021 16:39:33 GMT
GET 304 /api/game/4  100.707 ms - Mon, 08 Feb 2021 16:40:48 GMT
GET 304 /api/game/4  122.536 ms - Mon, 08 Feb 2021 16:41:45 GMT
GET 304 /api/game/4  117.346 ms - Mon, 08 Feb 2021 16:42:05 GMT
GET 304 /api/game/4  111.283 ms - Mon, 08 Feb 2021 16:42:16 GMT
GET 304 /api/game/4  107.054 ms - Mon, 08 Feb 2021 16:42:57 GMT
GET 304 /api/game/4  99.599 ms - Mon, 08 Feb 2021 16:43:47 GMT
GET 304 /api/game/4  101.452 ms - Mon, 08 Feb 2021 16:43:50 GMT
GET 304 /api/game/4  96.379 ms - Mon, 08 Feb 2021 16:44:05 GMT
GET 304 /api/game/4  123.454 ms - Mon, 08 Feb 2021 16:44:07 GMT
GET 304 /api/game/4  169.884 ms - Mon, 08 Feb 2021 16:44:19 GMT
GET 304 /api/game/4  175.920 ms - Mon, 08 Feb 2021 16:44:47 GMT
GET 304 /api/game/4  111.533 ms - Mon, 08 Feb 2021 16:45:18 GMT
GET 304 /api/game/4  116.271 ms - Mon, 08 Feb 2021 16:45:22 GMT
GET 304 /api/game/4  160.366 ms - Mon, 08 Feb 2021 16:45:28 GMT
GET 304 /api/game/4  121.385 ms - Mon, 08 Feb 2021 16:46:07 GMT
GET 304 /api/game/4  105.659 ms - Mon, 08 Feb 2021 16:46:22 GMT
GET 304 /api/game/4  106.864 ms - Mon, 08 Feb 2021 16:46:27 GMT
GET 304 /api/game/4  100.850 ms - Mon, 08 Feb 2021 16:46:27 GMT
GET 304 /api/game/4  99.374 ms - Mon, 08 Feb 2021 16:46:33 GMT
GET 304 /api/game/4  132.693 ms - Mon, 08 Feb 2021 16:47:00 GMT
GET 304 /api/game/4  117.464 ms - Mon, 08 Feb 2021 16:47:12 GMT
GET 304 /api/game/4  117.880 ms - Mon, 08 Feb 2021 16:47:52 GMT
GET 304 /api/game/4  119.920 ms - Mon, 08 Feb 2021 16:47:55 GMT
GET 304 /api/game/4  132.621 ms - Mon, 08 Feb 2021 16:48:02 GMT
GET 304 /api/game/4  439.554 ms - Mon, 08 Feb 2021 16:48:21 GMT
GET 304 /api/game/4  115.940 ms - Mon, 08 Feb 2021 17:01:02 GMT
GET 304 /api/game/4  101.886 ms - Mon, 08 Feb 2021 17:01:07 GMT
GET 304 /api/game/4  144.798 ms - Mon, 08 Feb 2021 17:01:49 GMT
GET 304 /api/game/4  107.344 ms - Mon, 08 Feb 2021 17:01:51 GMT
GET 304 /api/game/4  108.278 ms - Mon, 08 Feb 2021 17:02:28 GMT
GET 304 /api/game/4  114.903 ms - Mon, 08 Feb 2021 17:02:31 GMT
GET 304 /api/game/4  104.646 ms - Mon, 08 Feb 2021 17:02:55 GMT
GET 304 /api/game/4  110.114 ms - Mon, 08 Feb 2021 17:02:57 GMT
GET 304 /api/game/4  99.212 ms - Mon, 08 Feb 2021 17:03:49 GMT
GET 304 /api/game/4  144.276 ms - Mon, 08 Feb 2021 17:03:51 GMT
GET 304 /api/game/4  100.600 ms - Mon, 08 Feb 2021 17:04:27 GMT
GET 304 /api/game/4  102.600 ms - Mon, 08 Feb 2021 17:04:28 GMT
GET 304 /api/game/4  108.816 ms - Mon, 08 Feb 2021 17:06:08 GMT
